"","muID","time","timeup","module","round","prelimGain","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage.1","step","round.1","timestamp","session","room","round_number","complete_rooms_module2","cheat","report.rate","age","gender","politics","trust","DictGive","role","other","diceNumber","numberEntered","risk1","risk2","risk3","risk4","risk5","risk6","risk7","risk8","risk9","risk10","integrity1","integrity2","integrity3","integrity4","integrity5","integrity6","integrity7","integrity8","integrity9","integrity10","auditRate","audited","treat","taxBracket","report.rate.cess.panel","sample","risk.pref","total.integrity"
"1","AU0G1XAT98KVQC25YD63room_1513960630532","4483","false","Module2","2",1050,1032.5,7,1050,"false",105,945,10,"true","AU0G1XAT98KVQC25YD63","[objectObject]","[objectObject]",NA,"2","1513961118530","./data//session.dec/room_1513960630532/memory_Module2_6.3.2.csv","room_1513960630532",2,FALSE,0,1,"59","M","8","A","500","B","AU1I24FYT6VKMGOUD0JR","1","1",0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.1,"false",1,3,1,"CESS Online Panel - DS",3,10
"2","AU0G1XAT98KVQC25YD63room_1513960630532","16581","false","Module2","1",750,761,5,750,"false",75,675,10,"true","AU0G1XAT98KVQC25YD63","[objectObject]","[objectObject]",NA,"1","1513961036853","./data//session.dec/room_1513960630532/memory_Module2_6.3.1.csv","room_1513960630532",1,FALSE,0,1,"59","M","8","A","500","B","AU1I24FYT6VKMGOUD0JR","1","1",0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.1,"false",1,3,1,"CESS Online Panel - DS",3,10
"3","AU0G1XAT98KVQC25YD63room_1513960630532","2492","false","Module2","4",900,888.75,6,900,"false",90,810,10,"true","AU0G1XAT98KVQC25YD63","[objectObject]","[objectObject]",NA,"4","1513961293923","./data//session.dec/room_1513960630532/memory_Module2_6.3.4.csv","room_1513960630532",4,FALSE,0,1,"59","M","8","A","500","B","AU1I24FYT6VKMGOUD0JR","1","1",0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.1,"false",1,3,1,"CESS Online Panel - DS",3,10
"4","AU0G1XAT98KVQC25YD63room_1513960630532","5525","false","Module2","3",1350,1315,9,1350,"false",135,1215,10,"true","AU0G1XAT98KVQC25YD63","[objectObject]","[objectObject]",NA,"3","1513961218877","./data//session.dec/room_1513960630532/memory_Module2_6.3.3.csv","room_1513960630532",3,FALSE,0,1,"59","M","8","A","500","B","AU1I24FYT6VKMGOUD0JR","1","1",0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.1,"false",1,3,1,"CESS Online Panel - DS",3,10
"5","AU0LFJQWSNZEIUP16C7Aroom_1513960630532","2954","false","Module2","2",1350,1302.5,9,1350,"true",135,1215,10,"true","AU0LFJQWSNZEIUP16C7A","[objectObject]","[objectObject]",NA,"2","1513961117570","./data//session.dec/room_1513960630532/memory_Module2_6.3.2.csv","room_1513960630532",2,FALSE,0,1,"24","M","7","B","500","A","AU0ODT5AE89UXFBM3L2N","3","3",0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,3,1,2,1,0.1,"true",1,3,1,"CESS Online Panel - DS",2,16
"6","AU0LFJQWSNZEIUP16C7Aroom_1513960630532","2300","false","Module2","4",1500,1428.75,10,1500,"false",150,1350,10,"true","AU0LFJQWSNZEIUP16C7A","[objectObject]","[objectObject]",NA,"4","1513961293858","./data//session.dec/room_1513960630532/memory_Module2_6.3.4.csv","room_1513960630532",4,FALSE,0,1,"24","M","7","B","500","A","AU0ODT5AE89UXFBM3L2N","3","3",0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,3,1,2,1,0.1,"false",1,3,1,"CESS Online Panel - DS",2,16
"7","AU0LFJQWSNZEIUP16C7Aroom_1513960630532","5019","false","Module2","1",1350,1301,9,1350,"false",135,1215,10,"true","AU0LFJQWSNZEIUP16C7A","[objectObject]","[objectObject]",NA,"1","1513961025501","./data//session.dec/room_1513960630532/memory_Module2_6.3.1.csv","room_1513960630532",1,FALSE,0,1,"24","M","7","B","500","A","AU0ODT5AE89UXFBM3L2N","3","3",0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,3,1,2,1,0.1,"false",1,3,1,"CESS Online Panel - DS",2,16
"8","AU0LFJQWSNZEIUP16C7Aroom_1513960630532","4668","false","Module2","3",1650,1585,11,1650,"false",165,1485,10,"true","AU0LFJQWSNZEIUP16C7A","[objectObject]","[objectObject]",NA,"3","1513961218236","./data//session.dec/room_1513960630532/memory_Module2_6.3.3.csv","room_1513960630532",3,FALSE,0,1,"24","M","7","B","500","A","AU0ODT5AE89UXFBM3L2N","3","3",0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,3,1,2,1,0.1,"false",1,3,1,"CESS Online Panel - DS",2,16
"9","AU0ODT5AE89UXFBM3L2Nroom_1513960630532","6691","false","Module2","2",1050,1037.5,7,1000,"false",100,950,10,"true","AU0ODT5AE89UXFBM3L2N","[objectObject]","[objectObject]",NA,"2","1513961120871","./data//session.dec/room_1513960630532/memory_Module2_6.3.2.csv","room_1513960630532",2,FALSE,1,0.952380952380952,"18","M","8","A","500","B","AU0LFJQWSNZEIUP16C7A","4","4",1,1,0,0,1,0,1,0,1,0,3,1,3,3,2,3,1,2,3,3,0.1,"false",1,3,0.952380952380952,"CESS Online Panel - DS",5,24
"10","AU0ODT5AE89UXFBM3L2Nroom_1513960630532","5467","false","Module2","4",750,753.75,5,750,"true",75,675,10,"true","AU0ODT5AE89UXFBM3L2N","[objectObject]","[objectObject]",NA,"4","1513961297084","./data//session.dec/room_1513960630532/memory_Module2_6.3.4.csv","room_1513960630532",4,FALSE,0,1,"18","M","8","A","500","B","AU0LFJQWSNZEIUP16C7A","4","4",1,1,0,0,1,0,1,0,1,0,3,1,3,3,2,3,1,2,3,3,0.1,"true",1,3,1,"CESS Online Panel - DS",5,24
