"","muID","time","timeup","module","round","prelimGain","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","probAudit","done","player","stage","stage.1","step","round.1","timestamp","session","room","round_number","complete_rooms_module2","cheat","report.rate","age","gender","politics","trust","DictGive","role","other","diceNumber","numberEntered","risk1","risk2","risk3","risk4","risk5","risk6","risk7","risk8","risk9","risk10","integrity1","integrity2","integrity3","integrity4","integrity5","integrity6","integrity7","integrity8","integrity9","integrity10","auditRate","audited","treat","taxBracket","report.rate.cess.stgo","sample","risk.pref","total.integrity"
"1","AU0LFJQWSNZEIUP16C7Aroom_1498784382818","3512","false","Module2","10",1200,1165,8,1200,"false",120,1080,10,"0","true","AU0LFJQWSNZEIUP16C7A","[objectObject]","[objectObject]",NA,"10","1498785876731","./data//room_1498784382818/memory_Module2_6.3.10.csv","room_1498784382818",10,TRUE,0,1,"28","F","5","B","200","A","AU4KB8UXDHECP2GW1YFS","5","5",0,1,1,1,0,1,0,1,0,1,3,3,2,3,3,3,1,1,3,2,0,"false",2,3,1,"CESS Online Panel Stgo - DS",6,24
"2","AU0LFJQWSNZEIUP16C7Aroom_1498784382818","5847","false","Module2","2",900,916.25,6,900,"false",90,810,10,"0","true","AU0LFJQWSNZEIUP16C7A","[objectObject]","[objectObject]",NA,"2","1498785133012","./data//room_1498784382818/memory_Module2_6.3.2.csv","room_1498784382818",2,TRUE,0,1,"28","F","5","B","200","A","AU4KB8UXDHECP2GW1YFS","5","5",0,1,1,1,0,1,0,1,0,1,3,3,2,3,3,3,1,1,3,2,0,"false",2,3,1,"CESS Online Panel Stgo - DS",6,24
"3","AU0LFJQWSNZEIUP16C7Aroom_1498784382818","1808","false","Module2","8",600,670,4,600,"false",60,540,10,"0","true","AU0LFJQWSNZEIUP16C7A","[objectObject]","[objectObject]",NA,"8","1498785687227","./data//room_1498784382818/memory_Module2_6.3.8.csv","room_1498784382818",8,TRUE,0,1,"28","F","5","B","200","A","AU4KB8UXDHECP2GW1YFS","5","5",0,1,1,1,0,1,0,1,0,1,3,3,2,3,3,3,1,1,3,2,0,"false",2,3,1,"CESS Online Panel Stgo - DS",6,24
"4","AU0LFJQWSNZEIUP16C7Aroom_1498784382818","1585","false","Module2","7",900,892.525,6,900,"false",90,810,10,"0","true","AU0LFJQWSNZEIUP16C7A","[objectObject]","[objectObject]",NA,"7","1498785569665","./data//room_1498784382818/memory_Module2_6.3.7.csv","room_1498784382818",7,TRUE,0,1,"28","F","5","B","200","A","AU4KB8UXDHECP2GW1YFS","5","5",0,1,1,1,0,1,0,1,0,1,3,3,2,3,3,3,1,1,3,2,0,"false",2,3,1,"CESS Online Panel Stgo - DS",6,24
"5","AU0LFJQWSNZEIUP16C7Aroom_1498784382818","4709","false","Module2","1",750,770,5,750,"false",75,675,10,"0","true","AU0LFJQWSNZEIUP16C7A","[objectObject]","[objectObject]",NA,"1","1498785017833","./data//room_1498784382818/memory_Module2_6.3.1.csv","room_1498784382818",1,TRUE,0,1,"28","F","5","B","200","A","AU4KB8UXDHECP2GW1YFS","5","5",0,1,1,1,0,1,0,1,0,1,3,3,2,3,3,3,1,1,3,2,0,"false",2,3,1,"CESS Online Panel Stgo - DS",6,24
"6","AU0LFJQWSNZEIUP16C7Aroom_1498784382818","1936","false","Module2","6",750,757.5,5,750,"false",75,675,10,"0","true","AU0LFJQWSNZEIUP16C7A","[objectObject]","[objectObject]",NA,"6","1498785483678","./data//room_1498784382818/memory_Module2_6.3.6.csv","room_1498784382818",6,TRUE,0,1,"28","F","5","B","200","A","AU4KB8UXDHECP2GW1YFS","5","5",0,1,1,1,0,1,0,1,0,1,3,3,2,3,3,3,1,1,3,2,0,"false",2,3,1,"CESS Online Panel Stgo - DS",6,24
"7","AU0LFJQWSNZEIUP16C7Aroom_1498784382818","2433","false","Module2","5",1200,1168.75,8,1200,"false",120,1080,10,"0","true","AU0LFJQWSNZEIUP16C7A","[objectObject]","[objectObject]",NA,"5","1498785395333","./data//room_1498784382818/memory_Module2_6.3.5.csv","room_1498784382818",5,TRUE,0,1,"28","F","5","B","200","A","AU4KB8UXDHECP2GW1YFS","5","5",0,1,1,1,0,1,0,1,0,1,3,3,2,3,3,3,1,1,3,2,0,"false",2,3,1,"CESS Online Panel Stgo - DS",6,24
"8","AU0LFJQWSNZEIUP16C7Aroom_1498784382818","2700","false","Module2","4",450,475.25,3,450,"false",45,405,10,"0","true","AU0LFJQWSNZEIUP16C7A","[objectObject]","[objectObject]",NA,"4","1498785314417","./data//room_1498784382818/memory_Module2_6.3.4.csv","room_1498784382818",4,TRUE,0,1,"28","F","5","B","200","A","AU4KB8UXDHECP2GW1YFS","5","5",0,1,1,1,0,1,0,1,0,1,3,3,2,3,3,3,1,1,3,2,0,"false",2,3,1,"CESS Online Panel Stgo - DS",6,24
"9","AU0LFJQWSNZEIUP16C7Aroom_1498784382818","1786","false","Module2","3",900,891.25,6,900,"false",90,810,10,"0","true","AU0LFJQWSNZEIUP16C7A","[objectObject]","[objectObject]",NA,"3","1498785222981","./data//room_1498784382818/memory_Module2_6.3.3.csv","room_1498784382818",3,TRUE,0,1,"28","F","5","B","200","A","AU4KB8UXDHECP2GW1YFS","5","5",0,1,1,1,0,1,0,1,0,1,3,3,2,3,3,3,1,1,3,2,0,"false",2,3,1,"CESS Online Panel Stgo - DS",6,24
"10","AU0LFJQWSNZEIUP16C7Aroom_1498784382818","2914","false","Module2","9",1200,1166.25,8,1200,"false",120,1080,10,"0","true","AU0LFJQWSNZEIUP16C7A","[objectObject]","[objectObject]",NA,"9","1498785787544","./data//room_1498784382818/memory_Module2_6.3.9.csv","room_1498784382818",9,TRUE,0,1,"28","F","5","B","200","A","AU4KB8UXDHECP2GW1YFS","5","5",0,1,1,1,0,1,0,1,0,1,3,3,2,3,3,3,1,1,3,2,0,"false",2,3,1,"CESS Online Panel Stgo - DS",6,24
