"","session","auditrate","taxrate","period","subject","sujeto","group","grupo","profit","ncorrectret","profitret","declared","deduction","totaldeduction","cheat","type","audited","fine","deductionsgroup","receivedfromgroup","taxrateproposed","ncorrectsum","groupdg","profitdg","proposerdg","offerdg","age_subject","gender","trust","ideology","income","publictransport","taxes","drivingfast","moneyfound","lying","accidentaldamage","litter","drivingalcohol","jobapplication","buyingstolen","profitriskav","dec1","dec2","dec3","dec4","dec5","dec6","dec7","dec8","dec9","dec10","hljump","safechoices","guessm2","guessm3","rankincome","lowincome","chile","init_pred","avg_pred","pred_correct","realdie","digitaldie","digitaldielie","lastroll","timeokdeclareok","subj_id","country","sess_code","totalprofit","timeokinitialinfook","timeokretaddingok","timeokresultsok","sess_id","audit","pred0","pred1","pred2","tax_20","tax_30","timedictator","timeokinicialriskaversionok","timeokloteriasok","lendmoney","lendstuff","dooropen","trustworthy","redistrib1","redistrib2","redistrib3","redistrib4","redistrib5","redistrib6","anx1","anx2","anx3","anx4","econself","nosecure","econcountrypers","econselfpers","digitaldie_actual","timeactualdiceok","timedigitaldiceok","econlosejob","own1","own2","own3","own4","own5","own6","own7","subjectivestatus2","norms","subjectivestatus1","own8","declared_frac","russia","oxford","shock","status","ncorrect_subjav","ncorrect_countrymed","ability_high","hh","amax","period1","c1","c2","c3","c4","c5","c6","c7","c8","c9","father_educ1","mother_educ1","family1","employment1","a51","b11","b21","b31","b41","b51","b61","b71","b81","social_active","parents_edhigh","grades_rating","grades_total","grades_calculus","grades_eligible","grades_relrating_inv","nosibling","T10","T20","T30","T40","T50","EndT","AR0","AR30","AR70","AR100","percevaded","difsalaries","highsalary","receiveshock","cost_comply","perform_high","non_fixed","subj_id1","avg_RET","treatment","treatment_lab","treatment2","treatment2_lab","HighTax"
"1",1,100,10,8,1,1,1,1,1976.25,13,1950,1950,195,195,0,NA,1,0,885,221.25,NA,13,1,300,0,0,23,1,1,7,89,3,3,3,4,3,2,1,2,3,3,2,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29,101,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,195,0,0,NA,11.1999998092651,1,"Baseline",1,"Baseline",0
"2",1,100,10,3,1,1,1,1,1957.5,13,1950,1950,195,195,0,NA,1,0,810,202.5,NA,13,1,300,0,0,23,1,1,7,89,3,3,3,4,3,2,1,2,3,3,2,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,30,101,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,195,0,0,NA,11.1999998092651,1,"Baseline",1,"Baseline",0
"3",1,100,10,9,1,1,1,1,1957.5,13,1950,1950,195,195,0,NA,1,0,810,202.5,NA,13,1,300,0,0,23,1,1,7,89,3,3,3,4,3,2,1,2,3,3,2,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29,101,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,195,0,0,NA,11.1999998092651,1,"Baseline",1,"Baseline",0
"4",1,100,10,4,1,1,1,1,1698.75,11,1650,1650,165,165,0,NA,1,0,855,213.75,NA,11,1,300,0,0,23,1,1,7,89,3,3,3,4,3,2,1,2,3,3,2,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29,101,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,165,0,0,NA,11.1999998092651,1,"Baseline",1,"Baseline",0
"5",1,0,10,1,1,1,1,1,1383.75,9,1350,0,0,0,1,NA,0,0,135,33.75,NA,9,1,300,0,0,23,1,1,7,89,3,3,3,4,3,2,1,2,3,3,2,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,28,101,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,1,0,NA,NA,135,0,0,NA,11.1999998092651,1,"Baseline",1,"Baseline",0
"6",1,0,10,7,1,1,1,1,1991.25,13,1950,0,0,0,1,NA,0,0,165,41.25,NA,13,1,300,0,0,23,1,1,7,89,3,3,3,4,3,2,1,2,3,3,2,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,26,101,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,1,0,NA,NA,195,0,0,NA,11.1999998092651,1,"Baseline",1,"Baseline",0
"7",1,0,10,5,1,1,1,1,1694,11,1650,0,0,0,1,NA,0,0,176,44,NA,11,1,300,0,0,23,1,1,7,89,3,3,3,4,3,2,1,2,3,3,2,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29,101,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,1,0,NA,NA,165,0,0,NA,11.1999998092651,1,"Baseline",1,"Baseline",0
"8",1,100,10,10,1,1,1,1,1965,13,1950,1950,195,195,0,NA,1,0,840,210,NA,13,1,300,0,0,23,1,1,7,89,3,3,3,4,3,2,1,2,3,3,2,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,30,101,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,195,0,0,NA,11.1999998092651,1,"Baseline",1,"Baseline",0
"9",1,0,10,10,1,1,1,1,1699,11,1650,0,0,0,1,NA,0,0,196,49,NA,11,1,300,0,0,23,1,1,7,89,3,3,3,4,3,2,1,2,3,3,2,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29,101,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,1,0,NA,NA,165,0,0,NA,11.1999998092651,1,"Baseline",1,"Baseline",0
"10",1,100,10,5,1,1,1,1,1691.25,11,1650,1650,165,165,0,NA,1,0,825,206.25,NA,11,1,300,0,0,23,1,1,7,89,3,3,3,4,3,2,1,2,3,3,2,0,0,0,0,0,0,1,1,1,1,7,6,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,30,101,"UK","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,NA,NA,165,0,0,NA,11.1999998092651,1,"Baseline",1,"Baseline",0
