Duration (in seconds),RecordedDate,consent,gender,gender_other,yob,Q510_1,Q511_1,Q512_1,Q513_1
1131,2019-04-05T21:51:42Z,"Yes, I have read and understood the rules.",Male,NA,1973,NA,NA,7,NA
771,2019-04-05T21:52:41Z,"Yes, I have read and understood the rules.",Male,NA,1986,NA,NA,3,NA
1045,2019-04-05T21:55:32Z,"Yes, I have read and understood the rules.",Male,NA,1981,10,NA,NA,NA
1314,2019-04-05T22:14:54Z,"Yes, I have read and understood the rules.",Male,NA,1984,9,NA,NA,NA
1146,2019-04-05T22:39:28Z,"Yes, I have read and understood the rules.",Male,NA,1988,10,NA,NA,NA
1456,2019-04-05T22:41:21Z,"Yes, I have read and understood the rules.",Female,NA,1988,NA,NA,7,NA
1741,2019-04-05T22:48:05Z,"Yes, I have read and understood the rules.",Female,NA,1983,NA,2,NA,NA
564,2019-04-05T23:18:15Z,"Yes, I have read and understood the rules.",Male,NA,1988,NA,NA,NA,2
818,2019-04-05T23:37:35Z,"Yes, I have read and understood the rules.",Male,NA,2000,NA,NA,5,NA
795,2019-04-06T00:12:01Z,"Yes, I have read and understood the rules.",Female,NA,1965,NA,NA,6,NA
985,2019-04-06T00:17:21Z,"Yes, I have read and understood the rules.",Female,NA,1964,NA,0,NA,NA
912,2019-04-06T00:34:52Z,"Yes, I have read and understood the rules.",Male,NA,1962,NA,NA,10,NA
903,2019-04-06T00:36:01Z,"Yes, I have read and understood the rules.",Female,NA,1986,NA,NA,NA,7
589,2019-04-06T01:45:41Z,"Yes, I have read and understood the rules.",Female,NA,1981,NA,7,NA,NA
2681,2019-04-06T02:48:34Z,"Yes, I have read and understood the rules.",Female,NA,1988,NA,NA,9,NA
2878,2019-04-06T03:00:34Z,"Yes, I have read and understood the rules.",Male,NA,1987,NA,NA,NA,4
887,2019-04-06T05:17:39Z,"Yes, I have read and understood the rules.",Female,NA,1980,NA,5,NA,NA
916,2019-04-06T05:25:56Z,"Yes, I have read and understood the rules.",Male,NA,1972,NA,2,NA,NA
20486,2019-04-06T06:31:07Z,"Yes, I have read and understood the rules.",Female,NA,1982,NA,NA,NA,8
893,2019-04-06T07:11:16Z,"Yes, I have read and understood the rules.",Female,NA,1975,NA,NA,NA,5
1277,2019-04-06T09:47:55Z,"Yes, I have read and understood the rules.",Male,NA,1984,NA,NA,NA,0
45576,2019-04-06T10:14:30Z,"Yes, I have read and understood the rules.",Male,NA,1984,NA,NA,5,NA
765,2019-04-06T12:11:40Z,"Yes, I have read and understood the rules.",Female,NA,1982,NA,NA,6,NA
81722,2019-04-06T20:25:58Z,"Yes, I have read and understood the rules.",Male,NA,1989,NA,NA,10,NA
86426,2019-04-06T21:35:49Z,"Yes, I have read and understood the rules.",Female,NA,1982,NA,NA,NA,5
1077,2019-04-06T21:49:47Z,"Yes, I have read and understood the rules.",Female,NA,1975,NA,NA,NA,8
833,2019-04-06T21:55:11Z,"Yes, I have read and understood the rules.",Male,NA,2002,NA,NA,NA,7
1287,2019-04-06T21:57:18Z,"Yes, I have read and understood the rules.",Male,NA,1992,10,NA,NA,NA
1619,2019-04-06T22:10:21Z,"Yes, I have read and understood the rules.",Male,NA,1996,NA,2,NA,NA
851,2019-04-06T22:15:20Z,"Yes, I have read and understood the rules.",Male,NA,1997,6,NA,NA,NA
2342,2019-04-06T22:15:24Z,"Yes, I have read and understood the rules.",Female,NA,1983,NA,NA,5,NA
1513,2019-04-06T22:16:12Z,"Yes, I have read and understood the rules.",Male,NA,1981,NA,NA,NA,1
1041,2019-04-06T22:29:46Z,"Yes, I have read and understood the rules.",Female,NA,1977,NA,NA,10,NA
734,2019-04-06T22:35:19Z,"Yes, I have read and understood the rules.",Male,NA,1979,NA,NA,NA,0
