"","muID","time","timeup","module","round","prelimGain","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","stage","stage.1","step","round.1","timestamp","session","room","round_number","complete_rooms_module2","cheat","report.rate","age","gender","politics","trust","DictGive","role","other","risk1","risk2","risk3","risk4","risk5","risk6","risk7","risk8","risk9","risk10","integrity1","integrity2","integrity3","integrity4","integrity5","integrity6","integrity7","integrity8","integrity9","integrity10","auditRate","audited","taxBracket","report.rate.lab.online.sync","sample","treat","risk.pref","total.integrity"
"1","AU0G1XAT98KVQC25YD63","10765","false","Module2","2",1800,1841.5,12,0,"false",0,1800,30,"true","[objectObject]","[objectObject]",NA,"2","1488025441262","./data//room_1488024771705/memory_Module2_6.3.2.csv","room_1488024771705",2,FALSE,1,0,"24","M","1","A","10","A","AU2TQ1FYLMRBD347I80H",0,0,0,0,1,1,1,1,1,1,3,1,1,3,3,2,2,1,3,2,0,"false",1,0,"Online Sync",2,6,21
"2","AU0G1XAT98KVQC25YD63","6650","false","Module2","8",2100,2205,14,0,"false",0,2100,30,"true","[objectObject]","[objectObject]",NA,"8","1488025963911","./data//room_1488024771705/memory_Module2_6.3.8.csv","room_1488024771705",8,FALSE,1,0,"24","M","1","A","10","A","AU2TQ1FYLMRBD347I80H",0,0,0,0,1,1,1,1,1,1,3,1,1,3,3,2,2,1,3,2,0,"false",1,0,"Online Sync",2,6,21
"3","AU0G1XAT98KVQC25YD63","3359","false","Module2","4",1950,1995,13,0,"false",0,1950,30,"true","[objectObject]","[objectObject]",NA,"4","1488025609883","./data//room_1488024771705/memory_Module2_6.3.4.csv","room_1488024771705",4,FALSE,1,0,"24","M","1","A","10","A","AU2TQ1FYLMRBD347I80H",0,0,0,0,1,1,1,1,1,1,3,1,1,3,3,2,2,1,3,2,0,"false",1,0,"Online Sync",2,6,21
"4","AU0G1XAT98KVQC25YD63","5426","false","Module2","9",1650,1734,11,0,"false",0,1650,30,"true","[objectObject]","[objectObject]",NA,"9","1488026045070","./data//room_1488024771705/memory_Module2_6.3.9.csv","room_1488024771705",9,FALSE,1,0,"24","M","1","A","10","A","AU2TQ1FYLMRBD347I80H",0,0,0,0,1,1,1,1,1,1,3,1,1,3,3,2,2,1,3,2,0,"false",1,0,"Online Sync",2,6,21
"5","AU0G1XAT98KVQC25YD63","4088","false","Module2","1",1050,1114.9,7,0,"false",0,1050,30,"true","[objectObject]","[objectObject]",NA,"1","1488025348790","./data//room_1488024771705/memory_Module2_6.3.1.csv","room_1488024771705",1,FALSE,1,0,"24","M","1","A","10","A","AU2TQ1FYLMRBD347I80H",0,0,0,0,1,1,1,1,1,1,3,1,1,3,3,2,2,1,3,2,0,"false",1,0,"Online Sync",2,6,21
"6","AU0G1XAT98KVQC25YD63","5411","false","Module2","6",1800,1927,12,0,"false",0,1800,30,"true","[objectObject]","[objectObject]",NA,"6","1488025772801","./data//room_1488024771705/memory_Module2_6.3.6.csv","room_1488024771705",6,FALSE,1,0,"24","M","1","A","10","A","AU2TQ1FYLMRBD347I80H",0,0,0,0,1,1,1,1,1,1,3,1,1,3,3,2,2,1,3,2,0,"false",1,0,"Online Sync",2,6,21
"7","AU0G1XAT98KVQC25YD63","2758","false","Module2","5",1650,1691,11,0,"false",0,1650,30,"true","[objectObject]","[objectObject]",NA,"5","1488025686930","./data//room_1488024771705/memory_Module2_6.3.5.csv","room_1488024771705",5,FALSE,1,0,"24","M","1","A","10","A","AU2TQ1FYLMRBD347I80H",0,0,0,0,1,1,1,1,1,1,3,1,1,3,3,2,2,1,3,2,0,"false",1,0,"Online Sync",2,6,21
"8","AU0G1XAT98KVQC25YD63","26185","false","Module2","7",2100,2152.5,14,0,"false",0,2100,30,"true","[objectObject]","[objectObject]",NA,"7","1488025883225","./data//room_1488024771705/memory_Module2_6.3.7.csv","room_1488024771705",7,FALSE,1,0,"24","M","1","A","10","A","AU2TQ1FYLMRBD347I80H",0,0,0,0,1,1,1,1,1,1,3,1,1,3,3,2,2,1,3,2,0,"false",1,0,"Online Sync",2,6,21
"9","AU0G1XAT98KVQC25YD63","5083","false","Module2","3",1800,1845.1,12,0,"false",0,1800,30,"true","[objectObject]","[objectObject]",NA,"3","1488025532588","./data//room_1488024771705/memory_Module2_6.3.3.csv","room_1488024771705",3,FALSE,1,0,"24","M","1","A","10","A","AU2TQ1FYLMRBD347I80H",0,0,0,0,1,1,1,1,1,1,3,1,1,3,3,2,2,1,3,2,0,"false",1,0,"Online Sync",2,6,21
"10","AU0G1XAT98KVQC25YD63","3266","false","Module2","10",1350,1476,9,0,"false",0,1350,30,"true","[objectObject]","[objectObject]",NA,"10","1488026125346","./data//room_1488024771705/memory_Module2_6.3.10.csv","room_1488024771705",10,FALSE,1,0,"24","M","1","A","10","A","AU2TQ1FYLMRBD347I80H",0,0,0,0,1,1,1,1,1,1,3,1,1,3,3,2,2,1,3,2,0,"false",1,0,"Online Sync",2,6,21
