StartDate,EndDate,Progress,Duration (in seconds),Q2,Q2_3_TEXT,Q67,QTE1_1,QTE2_1,QTE3_1,QTE4_1
Start Date,End Date,Progress,Duration (in seconds),What is your gender? - Selected Choice,What is your gender? - Other - Text,Please enter your birth year,The Indian Election Commission has announced that the coming Indian elections will continue to use electronic voting machines. - How truthful is this statement?,"The Indian Election Commission has warned that there is likely to be extensive election fraud in the upcoming Lok Sabha elections because of the use of electronic voting machines, that can be easily hacked. - How truthful is this statement?","The Indian Election Commission has said all polling booths will have the voter-verified paper audit trail facility this election, a system in which voters can see on paper whether the machine has registered the same vote as the button they pressed. This provides an additional layer of security and reduces the possibility of massive electoral fraud. - How truthful is this statement?","The Indian Election Commission has been ordered to discontinue the use of voter-verified paper audit trail facility this election, an old system in which voters could see on paper whether the machine had registered the same vote as the button they had pressed. Opposition parties have alleged that the BJP is behind this change and that not using paper trail will lead to massive electoral fraud. - How truthful is this statement?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_3_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID309_1""}","{""ImportId"":""QID311_1""}","{""ImportId"":""QID312_1""}","{""ImportId"":""QID313_1""}"
01/04/2019 04:09,01/04/2019 04:10,100,72,Female,,1993,,,8,
01/04/2019 04:10,01/04/2019 04:11,100,67,Male,,1995,10,,,
01/04/2019 04:10,01/04/2019 04:12,100,127,Male,,1984,10,,,
01/04/2019 04:11,01/04/2019 04:12,100,69,Male,,1990,,,10,
01/04/2019 04:11,01/04/2019 04:13,100,109,Male,,1985,,,,9
01/04/2019 04:08,01/04/2019 04:13,100,268,Male,,1982,,,,0
01/04/2019 04:13,01/04/2019 04:13,100,48,Female,,1993,,,8,
01/04/2019 04:12,01/04/2019 04:14,100,119,Female,,1976,,,,8
01/04/2019 04:08,01/04/2019 04:14,100,308,Male,,1992,,,10,
01/04/2019 04:11,01/04/2019 04:14,100,184,Female,,1980,10,,,
01/04/2019 04:13,01/04/2019 04:14,100,65,Female,,1989,,,9,
01/04/2019 04:13,01/04/2019 04:14,100,85,Male,,1981,,2,,
01/04/2019 04:12,01/04/2019 04:14,100,148,Male,,1989,,9,,
01/04/2019 04:15,01/04/2019 04:16,100,62,Female,,1992,,,,8
01/04/2019 04:14,01/04/2019 04:16,100,130,Male,,1995,,,,7
01/04/2019 04:16,01/04/2019 04:16,100,39,Female,,1983,,,7,
01/04/2019 04:16,01/04/2019 04:16,100,43,Female,,1997,8,,,
01/04/2019 04:15,01/04/2019 04:16,100,104,Male,,1984,,,,
01/04/2019 04:16,01/04/2019 04:16,100,34,Female,,1993,9,,,
01/04/2019 04:14,01/04/2019 04:17,100,170,Male,,1984,8,,,
01/04/2019 04:16,01/04/2019 04:17,100,61,Male,,1977,,8,,
01/04/2019 04:16,01/04/2019 04:17,100,68,Female,,1994,6,,,
01/04/2019 04:16,01/04/2019 04:17,100,71,Female,,1991,,9,,
01/04/2019 04:16,01/04/2019 04:17,100,67,Female,,1997,,,7,
01/04/2019 04:16,01/04/2019 04:17,100,81,Male,,1991,8,,,
01/04/2019 04:17,01/04/2019 04:17,100,37,Female,,1996,10,,,
01/04/2019 04:16,01/04/2019 04:17,100,92,Female,,1993,,9,,
01/04/2019 04:16,01/04/2019 04:18,100,99,Female,,1994,,5,,
01/04/2019 04:16,01/04/2019 04:18,100,135,Male,,1971,,,10,
01/04/2019 04:16,01/04/2019 04:18,100,105,Female,,1993,,,8,
01/04/2019 04:17,01/04/2019 04:18,100,48,Female,,1997,9,,,
01/04/2019 04:15,01/04/2019 04:19,100,272,Male,,1988,,,8,
01/04/2019 04:18,01/04/2019 04:20,100,104,Female,,1994,,9,,
01/04/2019 04:20,01/04/2019 04:25,100,267,Female,,1990,,,10,
01/04/2019 04:27,01/04/2019 04:28,100,59,Male,,1995,,7,,
01/04/2019 04:25,01/04/2019 04:29,100,189,Male,,1995,,,8,
01/04/2019 04:28,01/04/2019 04:29,100,98,Male,,1985,3,,,
01/04/2019 04:24,01/04/2019 04:30,100,320,Female,,1994,10,,,
01/04/2019 04:30,01/04/2019 04:31,100,118,Male,,1994,,8,,
01/04/2019 04:30,01/04/2019 04:32,100,83,Female,,1994,7,,,
01/04/2019 04:31,01/04/2019 04:32,100,91,Male,,2000,,6,,
01/04/2019 04:31,01/04/2019 04:33,100,86,Female,,1993,,,3,
01/04/2019 04:29,01/04/2019 04:34,100,283,Male,,1989,9,,,
01/04/2019 04:32,01/04/2019 04:34,100,146,Male,,1990,10,,,
